"kind" "grade" "fname"
"439" "validation" "shmoo" "OP and WH 11.bmp"
"440" "validation" "pseudohyphae" "OP and WH 11.bmp"
"441" "validation" "hyphae" "OP and WH 11.bmp"
"442" "train" "opaque" "OP cells 38.bmp"
"443" "train" "gray" "OP cells 38.bmp"
"444" "train" "shmoo" "OP cells 38.bmp"
"445" "train" "pseudohyphae" "OP cells 38.bmp"
"446" "train" "hyphae" "OP cells 38.bmp"
"447" "validation" "opaque" "OP and WH 31.bmp"
"448" "validation" "gray" "OP and WH 31.bmp"
"449" "validation" "shmoo" "OP and WH 31.bmp"
"450" "validation" "pseudohyphae" "OP and WH 31.bmp"
"451" "validation" "hyphae" "OP and WH 31.bmp"
"452" "train" "opaque" "OP cells 31.bmp"
"453" "train" "gray" "OP cells 31.bmp"
"454" "train" "shmoo" "OP cells 31.bmp"
"455" "train" "pseudohyphae" "OP cells 31.bmp"
"456" "train" "hyphae" "OP cells 31.bmp"
"457" "train" "opaque" "OP cells 9.bmp"
"458" "train" "gray" "OP cells 9.bmp"
"459" "train" "shmoo" "OP cells 9.bmp"
"460" "train" "pseudohyphae" "OP cells 9.bmp"
"461" "train" "hyphae" "OP cells 9.bmp"
"462" "validation" "opaque" "OP cells 14.bmp"
"463" "validation" "gray" "OP cells 14.bmp"
"464" "validation" "shmoo" "OP cells 14.bmp"
"465" "validation" "pseudohyphae" "OP cells 14.bmp"
"466" "validation" "hyphae" "OP cells 14.bmp"
"467" "validation" "opaque" "OP cells 40.bmp"
"468" "validation" "gray" "OP cells 40.bmp"
"469" "validation" "shmoo" "OP cells 40.bmp"
"470" "validation" "pseudohyphae" "OP cells 40.bmp"
"471" "validation" "hyphae" "OP cells 40.bmp"
"472" "train" "opaque" "OP cells.bmp"
"473" "train" "gray" "OP cells.bmp"
"474" "train" "shmoo" "OP cells.bmp"
"475" "train" "pseudohyphae" "OP cells.bmp"
"476" "train" "hyphae" "OP cells.bmp"
"477" "train" "opaque" "OP cells 32.bmp"
"478" "train" "gray" "OP cells 32.bmp"
"479" "train" "shmoo" "OP cells 32.bmp"
"480" "train" "pseudohyphae" "OP cells 32.bmp"
"481" "train" "hyphae" "OP cells 32.bmp"
"482" "train" "white" "OP cells 11.bmp"
"483" "train" "opaque" "OP cells 11.bmp"
"484" "train" "gray" "OP cells 11.bmp"
"485" "train" "shmoo" "OP cells 11.bmp"
"486" "train" "pseudohyphae" "OP cells 11.bmp"
"487" "train" "hyphae" "OP cells 11.bmp"
"488" "train" "gray" "OP cells 7.bmp"
"489" "train" "shmoo" "OP cells 7.bmp"
"490" "train" "pseudohyphae" "OP cells 7.bmp"
"491" "train" "hyphae" "OP cells 7.bmp"
"492" "train" "gray" "OP and WH 25.bmp"
"493" "train" "shmoo" "OP and WH 25.bmp"
"494" "train" "pseudohyphae" "OP and WH 25.bmp"
"495" "train" "hyphae" "OP and WH 25.bmp"
"496" "validation" "gray" "OP and WH 24.bmp"
"497" "validation" "shmoo" "OP and WH 24.bmp"
"498" "validation" "pseudohyphae" "OP and WH 24.bmp"
"499" "validation" "hyphae" "OP and WH 24.bmp"
"500" "train" "gray" "OP and WH 48.bmp"
"501" "train" "shmoo" "OP and WH 48.bmp"
"502" "train" "pseudohyphae" "OP and WH 48.bmp"
"503" "train" "hyphae" "OP and WH 48.bmp"
"504" "validation" "gray" "OP cells 39.bmp"
"505" "validation" "shmoo" "OP cells 39.bmp"
"506" "validation" "pseudohyphae" "OP cells 39.bmp"
"507" "validation" "hyphae" "OP cells 39.bmp"
"508" "train" "gray" "OP and WH 27.bmp"
"509" "train" "shmoo" "OP and WH 27.bmp"
"510" "train" "pseudohyphae" "OP and WH 27.bmp"
"511" "train" "hyphae" "OP and WH 27.bmp"
"512" "validation" "gray" "OP and WH 20.bmp"
"513" "validation" "shmoo" "OP and WH 20.bmp"
"514" "validation" "pseudohyphae" "OP and WH 20.bmp"
"515" "validation" "hyphae" "OP and WH 20.bmp"
"516" "train" "gray" "OP and WH 14.bmp"
"517" "train" "shmoo" "OP and WH 14.bmp"
"518" "train" "pseudohyphae" "OP and WH 14.bmp"
"519" "train" "hyphae" "OP and WH 14.bmp"
"520" "train" "gray" "OP and WH 4.bmp"
"521" "train" "shmoo" "OP and WH 4.bmp"
"522" "train" "pseudohyphae" "OP and WH 4.bmp"
"523" "train" "hyphae" "OP and WH 4.bmp"
"524" "validation" "gray" "OP cells 22.bmp"
"525" "validation" "shmoo" "OP cells 22.bmp"
"526" "validation" "pseudohyphae" "OP cells 22.bmp"
"527" "validation" "hyphae" "OP cells 22.bmp"
"528" "validation" "gray" "OP cells 6.bmp"
"529" "validation" "shmoo" "OP cells 6.bmp"
"530" "validation" "pseudohyphae" "OP cells 6.bmp"
"531" "validation" "hyphae" "OP cells 6.bmp"
"532" "validation" "white" "OP cells 16.bmp"
"533" "validation" "opaque" "OP cells 16.bmp"
"534" "validation" "gray" "OP cells 16.bmp"
"535" "validation" "shmoo" "OP cells 16.bmp"
"536" "validation" "pseudohyphae" "OP cells 16.bmp"
"537" "validation" "hyphae" "OP cells 16.bmp"
"538" "train" "gray" "OP and WH 21.bmp"
"539" "train" "shmoo" "OP and WH 21.bmp"
"540" "train" "pseudohyphae" "OP and WH 21.bmp"
"541" "train" "hyphae" "OP and WH 21.bmp"
"542" "train" "opaque" "OP cells 28.bmp"
"543" "train" "gray" "OP cells 28.bmp"
"544" "train" "shmoo" "OP cells 28.bmp"
"545" "train" "pseudohyphae" "OP cells 28.bmp"
"546" "train" "hyphae" "OP cells 28.bmp"
"547" "train" "gray" "OP cells 26.bmp"
"548" "train" "shmoo" "OP cells 26.bmp"
"549" "train" "pseudohyphae" "OP cells 26.bmp"
"550" "train" "hyphae" "OP cells 26.bmp"
"551" "train" "gray" "OP cells 15.bmp"
"552" "train" "shmoo" "OP cells 15.bmp"
"553" "train" "pseudohyphae" "OP cells 15.bmp"
"554" "train" "hyphae" "OP cells 15.bmp"
"555" "validation" "gray" "OP cells 35.bmp"
"556" "validation" "shmoo" "OP cells 35.bmp"
"557" "validation" "pseudohyphae" "OP cells 35.bmp"
"558" "validation" "hyphae" "OP cells 35.bmp"
"559" "validation" "gray" "OP and WH 41.bmp"
"560" "validation" "shmoo" "OP and WH 41.bmp"
"561" "validation" "pseudohyphae" "OP and WH 41.bmp"
"562" "validation" "hyphae" "OP and WH 41.bmp"
"563" "train" "gray" "OP and WH 38.bmp"
"564" "train" "shmoo" "OP and WH 38.bmp"
"565" "train" "pseudohyphae" "OP and WH 38.bmp"
"566" "train" "hyphae" "OP and WH 38.bmp"
"567" "train" "gray" "OP cells 30.bmp"
"568" "train" "shmoo" "OP cells 30.bmp"
"569" "train" "pseudohyphae" "OP cells 30.bmp"
"570" "train" "hyphae" "OP cells 30.bmp"
"571" "validation" "gray" "OP and WH 32.bmp"
"572" "validation" "shmoo" "OP and WH 32.bmp"
"573" "validation" "pseudohyphae" "OP and WH 32.bmp"
"574" "validation" "hyphae" "OP and WH 32.bmp"
"575" "validation" "gray" "OP and WH 18.bmp"
"576" "validation" "shmoo" "OP and WH 18.bmp"
"577" "validation" "pseudohyphae" "OP and WH 18.bmp"
"578" "validation" "hyphae" "OP and WH 18.bmp"
"579" "train" "gray" "OP and WH 39.bmp"
"580" "train" "shmoo" "OP and WH 39.bmp"
"581" "train" "pseudohyphae" "OP and WH 39.bmp"
"582" "train" "hyphae" "OP and WH 39.bmp"
"583" "validation" "gray" "OP and WH 15.bmp"
"584" "validation" "shmoo" "OP and WH 15.bmp"
"585" "validation" "pseudohyphae" "OP and WH 15.bmp"
"586" "validation" "hyphae" "OP and WH 15.bmp"
"587" "validation" "gray" "OP and WH 17.bmp"
"588" "validation" "shmoo" "OP and WH 17.bmp"
"589" "validation" "pseudohyphae" "OP and WH 17.bmp"
"590" "validation" "hyphae" "OP and WH 17.bmp"
"591" "train" "gray" "OP and WH 42.bmp"
"592" "train" "shmoo" "OP and WH 42.bmp"
"593" "train" "pseudohyphae" "OP and WH 42.bmp"
"594" "train" "hyphae" "OP and WH 42.bmp"
"595" "validation" "gray" "OP and WH 29.bmp"
"596" "validation" "shmoo" "OP and WH 29.bmp"
"597" "validation" "pseudohyphae" "OP and WH 29.bmp"
"598" "validation" "hyphae" "OP and WH 29.bmp"
"599" "train" "white" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_8.bmp"
"600" "train" "opaque" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_8.bmp"
"601" "train" "gray" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_8.bmp"
"602" "train" "shmoo" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_8.bmp"
"603" "train" "pseudohyphae" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_8.bmp"
"604" "train" "hyphae" "Julyb7b019_Sc5314_control_from_ON_culture_washed_twice_w_1xPBS__stained_with_CFW_loaded_4macrolitre_100x_8.bmp"
"605" "train" "gray" "OP and WH 47.bmp"
"606" "train" "shmoo" "OP and WH 47.bmp"
"607" "train" "pseudohyphae" "OP and WH 47.bmp"
"608" "train" "hyphae" "OP and WH 47.bmp"
"609" "train" "gray" "OP and WH 12.bmp"
"610" "train" "shmoo" "OP and WH 12.bmp"
"611" "train" "pseudohyphae" "OP and WH 12.bmp"
"612" "train" "hyphae" "OP and WH 12.bmp"
"613" "validation" "gray" "OP and WH 28.bmp"
"614" "validation" "shmoo" "OP and WH 28.bmp"
"615" "validation" "pseudohyphae" "OP and WH 28.bmp"
"616" "validation" "hyphae" "OP and WH 28.bmp"
"617" "validation" "gray" "WT cells 23.bmp"
"618" "validation" "shmoo" "WT cells 23.bmp"
"619" "validation" "pseudohyphae" "WT cells 23.bmp"
"620" "validation" "hyphae" "WT cells 23.bmp"
"621" "train" "opaque" "OP and WH 36.bmp"
"622" "train" "gray" "OP and WH 36.bmp"
"623" "train" "shmoo" "OP and WH 36.bmp"
"624" "train" "pseudohyphae" "OP and WH 36.bmp"
"625" "train" "hyphae" "OP and WH 36.bmp"
"626" "train" "gray" "OP cells 3.bmp"
"627" "train" "shmoo" "OP cells 3.bmp"
"628" "train" "pseudohyphae" "OP cells 3.bmp"
"629" "train" "hyphae" "OP cells 3.bmp"
"630" "train" "gray" "OP cells 21.bmp"
"631" "train" "shmoo" "OP cells 21.bmp"
"632" "train" "pseudohyphae" "OP cells 21.bmp"
"633" "train" "hyphae" "OP cells 21.bmp"
"634" "train" "gray" "OP cells 44.bmp"
"635" "train" "shmoo" "OP cells 44.bmp"
"636" "train" "pseudohyphae" "OP cells 44.bmp"
"637" "train" "hyphae" "OP cells 44.bmp"
"638" "validation" "gray" "OP and WH 44.bmp"
"639" "validation" "shmoo" "OP and WH 44.bmp"
"640" "validation" "pseudohyphae" "OP and WH 44.bmp"
"641" "validation" "hyphae" "OP and WH 44.bmp"
"642" "validation" "gray" "OP cells 2.bmp"
"643" "validation" "shmoo" "OP cells 2.bmp"
"644" "validation" "pseudohyphae" "OP cells 2.bmp"
"645" "validation" "hyphae" "OP cells 2.bmp"
"646" "train" "gray" "OP and WH 45.bmp"
"647" "train" "shmoo" "OP and WH 45.bmp"
"648" "train" "pseudohyphae" "OP and WH 45.bmp"
"649" "train" "hyphae" "OP and WH 45.bmp"
"650" "train" "gray" "OP cells 50.bmp"
"651" "train" "shmoo" "OP cells 50.bmp"
"652" "train" "pseudohyphae" "OP cells 50.bmp"
"653" "train" "hyphae" "OP cells 50.bmp"
"654" "validation" "gray" "OP cells 17.bmp"
"655" "validation" "shmoo" "OP cells 17.bmp"
"656" "validation" "pseudohyphae" "OP cells 17.bmp"
"657" "validation" "hyphae" "OP cells 17.bmp"
"658" "train" "white" "OP and WH 22.bmp"
"659" "train" "opaque" "OP and WH 22.bmp"
"660" "train" "gray" "OP and WH 22.bmp"
"661" "train" "shmoo" "OP and WH 22.bmp"
"662" "train" "pseudohyphae" "OP and WH 22.bmp"
"663" "train" "hyphae" "OP and WH 22.bmp"
"664" "validation" "gray" "OP cells 47.bmp"
"665" "validation" "shmoo" "OP cells 47.bmp"
"666" "validation" "pseudohyphae" "OP cells 47.bmp"
"667" "validation" "hyphae" "OP cells 47.bmp"
"668" "train" "gray" "OP cells 8.bmp"
"669" "train" "shmoo" "OP cells 8.bmp"
"670" "train" "pseudohyphae" "OP cells 8.bmp"
"671" "train" "hyphae" "OP cells 8.bmp"
"672" "validation" "gray" "OP cells 37.bmp"
"673" "validation" "shmoo" "OP cells 37.bmp"
"674" "validation" "pseudohyphae" "OP cells 37.bmp"
"675" "validation" "hyphae" "OP cells 37.bmp"
"676" "validation" "gray" "OP cells 4.bmp"
"677" "validation" "shmoo" "OP cells 4.bmp"
"678" "validation" "pseudohyphae" "OP cells 4.bmp"
"679" "validation" "hyphae" "OP cells 4.bmp"
"680" "train" "gray" "OP cells 10.bmp"
"681" "train" "shmoo" "OP cells 10.bmp"
"682" "train" "pseudohyphae" "OP cells 10.bmp"
"683" "train" "hyphae" "OP cells 10.bmp"
"684" "train" "opaque" "OP cells 33.bmp"
"685" "train" "gray" "OP cells 33.bmp"
"686" "train" "shmoo" "OP cells 33.bmp"
"687" "train" "pseudohyphae" "OP cells 33.bmp"
"688" "train" "hyphae" "OP cells 33.bmp"
"689" "train" "gray" "OP cells 25.bmp"
"690" "train" "shmoo" "OP cells 25.bmp"
"691" "train" "pseudohyphae" "OP cells 25.bmp"
"692" "train" "hyphae" "OP cells 25.bmp"
"693" "train" "gray" "OP cells 19.bmp"
"694" "train" "shmoo" "OP cells 19.bmp"
"695" "train" "pseudohyphae" "OP cells 19.bmp"
"696" "train" "hyphae" "OP cells 19.bmp"
"697" "train" "gray" "OP cells 42.bmp"
"698" "train" "shmoo" "OP cells 42.bmp"
"699" "train" "pseudohyphae" "OP cells 42.bmp"
"700" "train" "hyphae" "OP cells 42.bmp"
"701" "train" "gray" "OP cells 13.bmp"
"702" "train" "shmoo" "OP cells 13.bmp"
"703" "train" "pseudohyphae" "OP cells 13.bmp"
"704" "train" "hyphae" "OP cells 13.bmp"
"705" "validation" "gray" "OP cells 18.bmp"
"706" "validation" "shmoo" "OP cells 18.bmp"
"707" "validation" "pseudohyphae" "OP cells 18.bmp"
"708" "validation" "hyphae" "OP cells 18.bmp"
"709" "train" "opaque" "OP cells 48.bmp"
"710" "train" "gray" "OP cells 48.bmp"
"711" "train" "shmoo" "OP cells 48.bmp"
"712" "train" "pseudohyphae" "OP cells 48.bmp"
"713" "train" "hyphae" "OP cells 48.bmp"
"714" "validation" "gray" "OP cells 23.bmp"
"715" "validation" "shmoo" "OP cells 23.bmp"
"716" "validation" "pseudohyphae" "OP cells 23.bmp"
"717" "validation" "hyphae" "OP cells 23.bmp"
"718" "train" "shmoo" "SHMOO 18.bmp"
"719" "train" "pseudohyphae" "SHMOO 18.bmp"
"720" "train" "hyphae" "SHMOO 18.bmp"
"721" "train" "white" "SHMOO 32.bmp"
"722" "train" "opaque" "SHMOO 32.bmp"
"723" "train" "gray" "SHMOO 32.bmp"
"724" "train" "shmoo" "SHMOO 32.bmp"
"725" "train" "pseudohyphae" "SHMOO 32.bmp"
"726" "train" "hyphae" "SHMOO 32.bmp"
"727" "validation" "shmoo" "SHMOO and WH 23.bmp"
"728" "validation" "pseudohyphae" "SHMOO and WH 23.bmp"
"729" "validation" "hyphae" "SHMOO and WH 23.bmp"
"730" "train" "shmoo" "SHMOO and WH 29.bmp"
"731" "train" "pseudohyphae" "SHMOO and WH 29.bmp"
"732" "train" "hyphae" "SHMOO and WH 29.bmp"
"733" "train" "shmoo" "SHMOO and WH 20.bmp"
"734" "train" "pseudohyphae" "SHMOO and WH 20.bmp"
"735" "train" "hyphae" "SHMOO and WH 20.bmp"
"736" "validation" "shmoo" "SHMOO 40.bmp"
"737" "validation" "pseudohyphae" "SHMOO 40.bmp"
"738" "validation" "hyphae" "SHMOO 40.bmp"
"739" "train" "shmoo" "SHMOO and WH 49.bmp"
"740" "train" "pseudohyphae" "SHMOO and WH 49.bmp"
"741" "train" "hyphae" "SHMOO and WH 49.bmp"
"742" "validation" "white" "SHMOO 9.bmp"
"743" "validation" "opaque" "SHMOO 9.bmp"
"744" "validation" "gray" "SHMOO 9.bmp"
"745" "validation" "shmoo" "SHMOO 9.bmp"
"746" "validation" "pseudohyphae" "SHMOO 9.bmp"
"747" "validation" "hyphae" "SHMOO 9.bmp"
"748" "train" "shmoo" "SHMOO and WH 44.bmp"
"749" "train" "pseudohyphae" "SHMOO and WH 44.bmp"
"750" "train" "hyphae" "SHMOO and WH 44.bmp"
"751" "validation" "gray" "OP and WH 9.bmp"
"752" "validation" "shmoo" "OP and WH 9.bmp"
"753" "validation" "pseudohyphae" "OP and WH 9.bmp"
"754" "validation" "hyphae" "OP and WH 9.bmp"
"755" "train" "shmoo" "OP and WH 19.bmp"
"756" "train" "pseudohyphae" "OP and WH 19.bmp"
"757" "train" "hyphae" "OP and WH 19.bmp"
"758" "validation" "opaque" "OP and WH 49.bmp"
"759" "validation" "gray" "OP and WH 49.bmp"
"760" "validation" "shmoo" "OP and WH 49.bmp"
"761" "validation" "pseudohyphae" "OP and WH 49.bmp"
"762" "validation" "hyphae" "OP and WH 49.bmp"
"763" "train" "gray" "OP and WH 16.bmp"
"764" "train" "shmoo" "OP and WH 16.bmp"
"765" "train" "pseudohyphae" "OP and WH 16.bmp"
"766" "train" "hyphae" "OP and WH 16.bmp"
"767" "train" "shmoo" "SHMOO and WH 27.bmp"
"768" "train" "pseudohyphae" "SHMOO and WH 27.bmp"
"769" "train" "hyphae" "SHMOO and WH 27.bmp"
"770" "train" "shmoo" "SHMOO and WH 40.bmp"
"771" "train" "pseudohyphae" "SHMOO and WH 40.bmp"
"772" "train" "hyphae" "SHMOO and WH 40.bmp"
"773" "train" "white" "OP and WH 3.bmp"
"774" "train" "opaque" "OP and WH 3.bmp"
"775" "train" "gray" "OP and WH 3.bmp"
"776" "train" "shmoo" "OP and WH 3.bmp"
"777" "train" "pseudohyphae" "OP and WH 3.bmp"
"778" "train" "hyphae" "OP and WH 3.bmp"
"779" "train" "shmoo" "SHMOO and WH 6.bmp"
"780" "train" "pseudohyphae" "SHMOO and WH 6.bmp"
"781" "train" "hyphae" "SHMOO and WH 6.bmp"
"782" "train" "shmoo" "OP cells 36.bmp"
"783" "train" "pseudohyphae" "OP cells 36.bmp"
"784" "train" "hyphae" "OP cells 36.bmp"
"785" "train" "shmoo" "OP cells 49.bmp"
"786" "train" "pseudohyphae" "OP cells 49.bmp"
"787" "train" "hyphae" "OP cells 49.bmp"
"788" "train" "shmoo" "SHMOO and WH 32.bmp"
"789" "train" "pseudohyphae" "SHMOO and WH 32.bmp"
"790" "train" "hyphae" "SHMOO and WH 32.bmp"
"791" "validation" "shmoo" "SHMOO and WH 2.bmp"
"792" "validation" "pseudohyphae" "SHMOO and WH 2.bmp"
"793" "validation" "hyphae" "SHMOO and WH 2.bmp"
"794" "validation" "shmoo" "SHMOO.bmp"
"795" "validation" "pseudohyphae" "SHMOO.bmp"
"796" "validation" "hyphae" "SHMOO.bmp"
"797" "train" "shmoo" "SHMOO 17.bmp"
"798" "train" "pseudohyphae" "SHMOO 17.bmp"
"799" "train" "hyphae" "SHMOO 17.bmp"
"800" "train" "shmoo" "SHMOO 14.bmp"
"801" "train" "pseudohyphae" "SHMOO 14.bmp"
"802" "train" "hyphae" "SHMOO 14.bmp"
"803" "train" "shmoo" "SHMOO and WH 41.bmp"
"804" "train" "pseudohyphae" "SHMOO and WH 41.bmp"
"805" "train" "hyphae" "SHMOO and WH 41.bmp"
"806" "validation" "shmoo" "SHMOO 38.bmp"
"807" "validation" "pseudohyphae" "SHMOO 38.bmp"
"808" "validation" "hyphae" "SHMOO 38.bmp"
"809" "train" "gray" "SHMOO 15.bmp"
"810" "train" "shmoo" "SHMOO 15.bmp"
"811" "train" "pseudohyphae" "SHMOO 15.bmp"
"812" "train" "hyphae" "SHMOO 15.bmp"
"813" "train" "gray" "OP cells 20.bmp"
"814" "train" "shmoo" "OP cells 20.bmp"
"815" "train" "pseudohyphae" "OP cells 20.bmp"
"816" "train" "hyphae" "OP cells 20.bmp"
"817" "train" "shmoo" "OP and WH 33.bmp"
"818" "train" "pseudohyphae" "OP and WH 33.bmp"
"819" "train" "hyphae" "OP and WH 33.bmp"
"820" "train" "shmoo" "SHMOO 4.bmp"
"821" "train" "pseudohyphae" "SHMOO 4.bmp"
"822" "train" "hyphae" "SHMOO 4.bmp"
"823" "validation" "shmoo" "SHMOO 46.bmp"
"824" "validation" "pseudohyphae" "SHMOO 46.bmp"
"825" "validation" "hyphae" "SHMOO 46.bmp"
"826" "train" "shmoo" "SHMOO 29.bmp"
"827" "train" "pseudohyphae" "SHMOO 29.bmp"
"828" "train" "hyphae" "SHMOO 29.bmp"
"829" "train" "shmoo" "SHMOO 42.bmp"
"830" "train" "pseudohyphae" "SHMOO 42.bmp"
"831" "train" "hyphae" "SHMOO 42.bmp"
"832" "validation" "shmoo" "SHMOO 47.bmp"
"833" "validation" "pseudohyphae" "SHMOO 47.bmp"
"834" "validation" "hyphae" "SHMOO 47.bmp"
"835" "validation" "shmoo" "SHMOO 45.bmp"
"836" "validation" "pseudohyphae" "SHMOO 45.bmp"
"837" "validation" "hyphae" "SHMOO 45.bmp"
"838" "train" "shmoo" "SHMOO 53.bmp"
"839" "train" "pseudohyphae" "SHMOO 53.bmp"
"840" "train" "hyphae" "SHMOO 53.bmp"
"841" "train" "shmoo" "SHMOO 37.bmp"
"842" "train" "pseudohyphae" "SHMOO 37.bmp"
"843" "train" "hyphae" "SHMOO 37.bmp"
"844" "train" "shmoo" "SHMOO and WH 35.bmp"
"845" "train" "pseudohyphae" "SHMOO and WH 35.bmp"
"846" "train" "hyphae" "SHMOO and WH 35.bmp"
"847" "validation" "shmoo" "SHMOO and WH 39.bmp"
"848" "validation" "pseudohyphae" "SHMOO and WH 39.bmp"
"849" "validation" "hyphae" "SHMOO and WH 39.bmp"
"850" "validation" "shmoo" "SHMOO and WH 24.bmp"
"851" "validation" "pseudohyphae" "SHMOO and WH 24.bmp"
"852" "validation" "hyphae" "SHMOO and WH 24.bmp"
"853" "train" "shmoo" "SHMOO and WH 17.bmp"
"854" "train" "pseudohyphae" "SHMOO and WH 17.bmp"
"855" "train" "hyphae" "SHMOO and WH 17.bmp"
"856" "train" "shmoo" "SHMOO and WH 42.bmp"
"857" "train" "pseudohyphae" "SHMOO and WH 42.bmp"
"858" "train" "hyphae" "SHMOO and WH 42.bmp"
"859" "train" "shmoo" "SHMOO and WH 36.bmp"
"860" "train" "pseudohyphae" "SHMOO and WH 36.bmp"
"861" "train" "hyphae" "SHMOO and WH 36.bmp"
"862" "validation" "shmoo" "SHMOO 16.bmp"
"863" "validation" "pseudohyphae" "SHMOO 16.bmp"
"864" "validation" "hyphae" "SHMOO 16.bmp"
"865" "validation" "shmoo" "SHMOO and WH 31.bmp"
"866" "validation" "pseudohyphae" "SHMOO and WH 31.bmp"
"867" "validation" "hyphae" "SHMOO and WH 31.bmp"
"868" "train" "shmoo" "SHMOO 10.bmp"
"869" "train" "pseudohyphae" "SHMOO 10.bmp"
"870" "train" "hyphae" "SHMOO 10.bmp"
"871" "train" "shmoo" "SHMOO and WH 50.bmp"
"872" "train" "pseudohyphae" "SHMOO and WH 50.bmp"
"873" "train" "hyphae" "SHMOO and WH 50.bmp"
"874" "train" "shmoo" "SHMOO 21.bmp"
"875" "train" "pseudohyphae" "SHMOO 21.bmp"
"876" "train" "hyphae" "SHMOO 21.bmp"
"877" "validation" "shmoo" "SHMOO and WH 33.bmp"
"878" "validation" "pseudohyphae" "SHMOO and WH 33.bmp"
"879" "validation" "hyphae" "SHMOO and WH 33.bmp"
"880" "validation" "shmoo" "SHMOO and WH 25.bmp"
"881" "validation" "pseudohyphae" "SHMOO and WH 25.bmp"
"882" "validation" "hyphae" "SHMOO and WH 25.bmp"
"883" "train" "shmoo" "SHMOO and WH 16.bmp"
"884" "train" "pseudohyphae" "SHMOO and WH 16.bmp"
"885" "train" "hyphae" "SHMOO and WH 16.bmp"
"886" "train" "shmoo" "SHMOO and WH 5.bmp"
"887" "train" "pseudohyphae" "SHMOO and WH 5.bmp"
"888" "train" "hyphae" "SHMOO and WH 5.bmp"
"889" "train" "shmoo" "SHMOO and WH 15.bmp"
"890" "train" "pseudohyphae" "SHMOO and WH 15.bmp"
"891" "train" "hyphae" "SHMOO and WH 15.bmp"
"892" "validation" "opaque" "SHMOO 34.bmp"
"893" "validation" "gray" "SHMOO 34.bmp"
"894" "validation" "shmoo" "SHMOO 34.bmp"
"895" "validation" "pseudohyphae" "SHMOO 34.bmp"
"896" "validation" "hyphae" "SHMOO 34.bmp"
"897" "train" "shmoo" "OP and WH 50.bmp"
"898" "train" "pseudohyphae" "OP and WH 50.bmp"
"899" "train" "hyphae" "OP and WH 50.bmp"
"900" "train" "gray" "SHMOO and WH.bmp"
"901" "train" "shmoo" "SHMOO and WH.bmp"
"902" "train" "pseudohyphae" "SHMOO and WH.bmp"
"903" "train" "hyphae" "SHMOO and WH.bmp"
"904" "validation" "shmoo" "OP and WH 2.bmp"
"905" "validation" "pseudohyphae" "OP and WH 2.bmp"
"906" "validation" "hyphae" "OP and WH 2.bmp"
"907" "train" "shmoo" "SHMOO and WH 38.bmp"
"908" "train" "pseudohyphae" "SHMOO and WH 38.bmp"
"909" "train" "hyphae" "SHMOO and WH 38.bmp"
"910" "validation" "shmoo" "SHMOO and WH 3.bmp"
"911" "validation" "pseudohyphae" "SHMOO and WH 3.bmp"
"912" "validation" "hyphae" "SHMOO and WH 3.bmp"
"913" "validation" "shmoo" "SHMOO and WH 34.bmp"
"914" "validation" "pseudohyphae" "SHMOO and WH 34.bmp"
"915" "validation" "hyphae" "SHMOO and WH 34.bmp"
"916" "train" "shmoo" "SHMOO and WH 11.bmp"
"917" "train" "pseudohyphae" "SHMOO and WH 11.bmp"
"918" "train" "hyphae" "SHMOO and WH 11.bmp"
"919" "train" "shmoo" "SHMOO and WH 22.bmp"
"920" "train" "pseudohyphae" "SHMOO and WH 22.bmp"
"921" "train" "hyphae" "SHMOO and WH 22.bmp"
"922" "train" "shmoo" "SHMOO and WH 12.bmp"
"923" "train" "pseudohyphae" "SHMOO and WH 12.bmp"
"924" "train" "hyphae" "SHMOO and WH 12.bmp"
"925" "validation" "shmoo" "SHMOO and WH 47.bmp"
"926" "validation" "pseudohyphae" "SHMOO and WH 47.bmp"
"927" "validation" "hyphae" "SHMOO and WH 47.bmp"
"928" "validation" "shmoo" "SHMOO and WH 30.bmp"
"929" "validation" "pseudohyphae" "SHMOO and WH 30.bmp"
"930" "validation" "hyphae" "SHMOO and WH 30.bmp"
"931" "train" "shmoo" "SHMOO 13.bmp"
"932" "train" "pseudohyphae" "SHMOO 13.bmp"
"933" "train" "hyphae" "SHMOO 13.bmp"
"934" "train" "shmoo" "SHMOO 11.bmp"
"935" "train" "pseudohyphae" "SHMOO 11.bmp"
"936" "train" "hyphae" "SHMOO 11.bmp"
"937" "train" "shmoo" "SHMOO and WH 4.bmp"
"938" "train" "pseudohyphae" "SHMOO and WH 4.bmp"
"939" "train" "hyphae" "SHMOO and WH 4.bmp"
"940" "validation" "gray" "SHMOO and WH 43.bmp"
"941" "validation" "shmoo" "SHMOO and WH 43.bmp"
"942" "validation" "pseudohyphae" "SHMOO and WH 43.bmp"
"943" "validation" "hyphae" "SHMOO and WH 43.bmp"
